target_alpha,found_lambda,time_seconds,avg_ef_search,empirical_fnr
0.01,-1,8.62657,2,0.830645
0.05,0.075,17.0824,310.424,0.05813
0.1,0.071,14.5404,138.549,0.111709
0.15,0.069,13.2577,90.4562,0.151129
0.2,0.067,11.9159,59.7441,0.199288
0.25,0.066,11.1972,34.1022,0.25307
0.3,0.064,10.923,33.0392,0.287082
0.4,0.0629999,9.90918,16.534,0.369752
0.5,0.06,9.45875,10.7454,0.465271
